"","scan","int","mz"
"1",1,51,209.106094360352
"2",2,27,209.077713012695
"3",3,36,209.119033813477
"4",4,43.5,209.028129577637
"5",5,51,208.937225341797
"6",6,32,209.049301147461
"7",7,44,209.097045898438
"8",8,32.5,209.056274414062
"9",9,21,209.015502929688
"10",10,34,209.137542724609
"11",11,38,208.963287353516
"12",12,32,208.958999633789
"13",13,29,209.079788208008
"14",14,41,209.011245727539
"15",15,36,209.112838745117
"16",16,64,209.015991210938
"17",17,28,209.020431518555
"18",18,48,208.968566894531
"19",19,45,208.933319091797
"20",20,42,209.075180053711
"21",21,35,209.090606689453
"22",22,28,209.106033325195
"23",23,30,209.094673156738
"24",24,32,209.083312988281
"25",25,68,208.962677001953
"26",26,28,209.110992431641
"27",27,26,209.080383300781
"28",28,42,209.131393432617
"29",29,23,209.017303466797
"30",30,29,209.091644287109
"31",31,43,209.008071899414
"32",32,32,209.044067382812
"33",33,36,209.03044128418
"34",34,53,209.017776489258
"35",35,70,209.005111694336
"36",36,94,209.009780883789
"37",37,29,209.07585144043
"38",38,51,209.090835571289
"39",39,27,209.051300048828
"40",40,58,209.024032592773
"41",41,21,209.115249633789
"42",42,49,208.935180664062
"43",43,22,208.9560546875
"44",44,30.5,208.956069946289
"45",45,39,208.956085205078
"46",46,30,208.958084106445
"47",47,24,208.972290039062
"48",48,57,209.005126953125
"49",49,43,208.954132080078
"50",50,23,209.046646118164
"51",51,48,209.186004638672
"52",52,36,209.048217773438
"53",53,24,209.022445678711
"54",54,43,209.027313232422
"55",55,25,209.129974365234
"56",56,36,209.113006591797
"57",57,50,208.956649780273
"58",58,24,209.027221679688
"59",59,32,208.950393676758
"60",60,30,209.0380859375
"61",61,36,209.094062805176
"62",62,42,209.150039672852
"63",63,34,209.11491394043
"64",64,44,208.961029052734
"65",65,25,209.097686767578
"66",66,52,209.143661499023
"67",67,26,209.08056640625
"68",68,106,208.951583862305
"69",69,44,208.955291748047
"70",70,90,209.016387939453
"71",71,40,209.0205078125
"72",72,26,209.069869995117
"73",73,33,209.06706237793
